,FRM30@SURVEYS
.desc,FHLMC: 30-Year Fixed-Rate Mortgages: U.S. (%)
.source,Freddie Mac
.dtlm,Thu Feb 09 2023 12:08:39 GMT-0500 (Eastern Standard Time)
.frq,Week
1 APR 1971,7.33
8 APR 1971,7.31
15 APR 1971,7.31
22 APR 1971,7.31
29 APR 1971,7.29
6 MAY 1971,7.38
13 MAY 1971,7.42
20 MAY 1971,7.44
27 MAY 1971,7.46
3 JUN 1971,7.52
10 JUN 1971,7.52
17 JUN 1971,7.54
24 JUN 1971,7.54
1 JUL 1971,7.54
8 JUL 1971,7.54
15 JUL 1971,7.60
22 JUL 1971,7.65
29 JUL 1971,7.69
5 AUG 1971,7.66
12 AUG 1971,7.73
19 AUG 1971,7.71
26 AUG 1971,7.69
2 SEP 1971,7.71
9 SEP 1971,7.67
16 SEP 1971,7.70
23 SEP 1971,7.67
30 SEP 1971,7.67
7 OCT 1971,7.63
14 OCT 1971,7.63
21 OCT 1971,7.58
28 OCT 1971,7.63
4 NOV 1971,7.59
11 NOV 1971,7.56
18 NOV 1971,7.54
25 NOV 1971,7.51
2 DEC 1971,7.49
9 DEC 1971,7.47
16 DEC 1971,7.48
23 DEC 1971,7.48
30 DEC 1971,7.48
6 JAN 1972,7.46
13 JAN 1972,7.46
20 JAN 1972,7.43
27 JAN 1972,7.40
3 FEB 1972,7.35
10 FEB 1972,7.33
17 FEB 1972,7.31
24 FEB 1972,7.31
2 MAR 1972,7.32
9 MAR 1972,7.32
16 MAR 1972,7.31
23 MAR 1972,7.31
30 MAR 1972,7.23
6 APR 1972,7.25
13 APR 1972,7.29
20 APR 1972,7.29
27 APR 1972,7.33
4 MAY 1972,7.33
11 MAY 1972,7.38
18 MAY 1972,7.38
25 MAY 1972,7.40
1 JUN 1972,7.36
8 JUN 1972,7.38
15 JUN 1972,7.38
22 JUN 1972,7.36
29 JUN 1972,7.38
6 JUL 1972,7.38
13 JUL 1972,7.40
20 JUL 1972,7.40
27 JUL 1972,7.40
3 AUG 1972,7.35
10 AUG 1972,7.41
17 AUG 1972,7.42
24 AUG 1972,7.42
31 AUG 1972,7.42
7 SEP 1972,7.42
14 SEP 1972,7.42
21 SEP 1972,7.41
28 SEP 1972,7.43
5 OCT 1972,7.41
12 OCT 1972,7.41
19 OCT 1972,7.44
26 OCT 1972,7.42
2 NOV 1972,7.43
9 NOV 1972,7.42
16 NOV 1972,7.42
23 NOV 1972,7.44
30 NOV 1972,7.45
7 DEC 1972,7.43
14 DEC 1972,7.43
21 DEC 1972,7.45
28 DEC 1972,7.45
4 JAN 1973,7.44
11 JAN 1973,7.44
18 JAN 1973,7.44
25 JAN 1973,7.43
1 FEB 1973,7.43
8 FEB 1973,7.43
15 FEB 1973,7.45
22 FEB 1973,7.45
1 MAR 1973,7.45
8 MAR 1973,7.45
15 MAR 1973,7.45
22 MAR 1973,7.45
29 MAR 1973,7.49
5 APR 1973,7.51
12 APR 1973,7.54
19 APR 1973,7.56
26 APR 1973,7.56
3 MAY 1973,7.58
10 MAY 1973,7.64
17 MAY 1973,7.69
24 MAY 1973,7.70
31 MAY 1973,7.70
7 JUN 1973,7.73
14 JUN 1973,7.73
21 JUN 1973,7.75
28 JUN 1973,7.76
5 JUL 1973,7.89
12 JUL 1973,8.01
19 JUL 1973,8.12
26 JUL 1973,8.18
2 AUG 1973,8.26
9 AUG 1973,8.40
16 AUG 1973,8.55
23 AUG 1973,8.61
30 AUG 1973,8.66
6 SEP 1973,8.77
13 SEP 1973,8.81
20 SEP 1973,8.83
27 SEP 1973,8.85
4 OCT 1973,8.82
11 OCT 1973,8.83
18 OCT 1973,8.75
25 OCT 1973,8.68
1 NOV 1973,8.62
8 NOV 1973,8.59
15 NOV 1973,8.58
22 NOV 1973,8.57
29 NOV 1973,8.55
6 DEC 1973,8.53
13 DEC 1973,8.53
20 DEC 1973,8.53
27 DEC 1973,8.56
3 JAN 1974,8.56
10 JAN 1974,8.53
17 JAN 1974,8.55
24 JAN 1974,8.52
31 JAN 1974,8.48
7 FEB 1974,8.46
14 FEB 1974,8.46
21 FEB 1974,8.42
28 FEB 1974,8.41
7 MAR 1974,8.41
14 MAR 1974,8.40
21 MAR 1974,8.40
28 MAR 1974,8.41
4 APR 1974,8.44
11 APR 1974,8.53
18 APR 1974,8.63
25 APR 1974,8.73
2 MAY 1974,8.87
